"V1","V2","V3","V4","V5"
0,10,10,0,0
0,10,10,0,0
0,10,10,0,0
0,10,10,0,0
0,10,10,0,0
0,10,10,0,0
0,10,10,0,0
0,10,10,0,0
0,10,10,0,0
0,10,10,0,0
0,10,10,0,0
0,10,10,0,0
0,10,10,0,0
0,10,10,0,0
0,10,10,0,0
0,10,10,0,0
0,10,10,0,0
0,10,10,0,0
0,10,10,0,0
10,10,10,0,0
10,10,10,0,0
10,10,10,0,0
10,10,10,0,0
10,10,10,0,0
10,10,10,0,0
10,10,10,0,0
10,10,10,0,0
10,10,10,0,0
10,10,10,0,0
10,10,10,0,0
10,10,10,0,0
10,10,10,0,0
10,10,10,0,0
10,10,10,0,0
10,10,10,0,0
0,10,10,0,0
0,10,10,0,0
0,10,10,0,0
0,10,10,0,0
