"V1","V2","V3","V4","V5","V6"
0.00545691480697182,0.144784709779009,0.320763425096378,0.216457620676549,0.141879784981267,0.170657544659825
0.0169396792639408,0.555763360419622,0.11773936970635,0.158347306419021,0.0792596414291242,0.0719506427619416
0.444401437655516,0.220403649433232,0.104174730439591,0.0624274260436826,0.0883052253248549,0.0802875311031241
0.0209782608695652,0.669130434782609,0.128152173913043,0.0355434782608696,0.048804347826087,0.0973913043478261
0.30976430976431,0.296171592467889,0.304651452799601,0.0316124205013094,0.017333832148647,0.0404663923182442
0.312325488631831,0.525767850019944,0.0862784204228161,0.0586358197048265,0.00985241324291982,0.00714000797766254
0.00653548840477864,0.632044975404076,0.304111033028812,0.03731553056922,0.0153900210822207,0.00460295151089248
0.0423678023143239,0.445853118805034,0.303950947397538,0.176524825964686,0.0236042598312664,0.00769904568715135
0.0018451185760026,0.359635317740272,0.409507787485755,0.158788733923048,0.0602919628805557,0.00993107939436696
0.0031158177049439,0.669013390127985,0.281350450610345,0.0366404385809225,0.00818395156678302,0.0016959514090201
0.0355780885091791,0.277899311201112,0.624781978892601,0.0532119312974843,0.0056907204304254,0.00283796966919916
0.0132301196340605,0.165657987332864,0.560028149190711,0.228599577762139,0.0247149894440535,0.00776917663617171
0.132836503889652,0.507877361574165,0.142053997515853,0.128652676995489,0.0724978754004053,0.0160815846244362
0.029080610623748,0.662706361815293,0.229467431097603,0.0438626787317814,0.0245907301236444,0.0102921876079298
0.175853658536585,0.394390243902439,0.288536585365854,0.112926829268293,0.0203658536585366,0.00792682926829268
0.62188122291203,0.236617078599039,0.0627855218460818,0.0592714068173832,0.0156963804615204,0.00374838936394518
0.000990723227956408,0.834008826443304,0.142484013329731,0.0202197604251103,0.00216157795190489,0.000135098621994056
0.00388127341664236,0.0424696565185202,0.903484172032396,0.0480559980257106,0.00199672447445763,0.000112175532272901
0.0244616604648326,0.0899774293905935,0.298054047459281,0.574269505276642,0.0101262734093821,0.00311108399926798
0.0636309700385642,0.198457431029368,0.295016315633343,0.396618214179769,0.0436072382082468,0.00266983091070899
0.00684540787221905,0.248716486023959,0.253850541928123,0.405590416428979,0.0827153451226469,0.00228180262407302
0.0835299669655498,0.279848985370458,0.254365266635205,0.192071731949033,0.144879660217084,0.0453043888626711
0.00102564102564103,0.347692307692308,0.281025641025641,0.28,0.0584615384615385,0.0317948717948718
0.00207792207792208,0.255064935064935,0.587532467532468,0.123636363636364,0.0161038961038961,0.0155844155844156
0.00606276747503566,0.06490727532097,0.54243937232525,0.328102710413695,0.0410128388017118,0.0174750356633381
0.00171232876712329,0.421917808219178,0.399315068493151,0.14486301369863,0.0267123287671233,0.00547945205479452
0.0212177121771218,0.133148831488315,0.65559655596556,0.148216482164822,0.0289052890528905,0.0129151291512915
0.00556242274412855,0.360630407911001,0.440667490729295,0.172435105067985,0.0176143386897404,0.0030902348578492
0,0.155885137267277,0.614073840328179,0.172609656042916,0.0438624171662985,0.0135689491953298
0.00341796875,0.18798828125,0.5634765625,0.22802734375,0.0166015625,0.00048828125
0.00210084033613445,0.163865546218487,0.511904761904762,0.28921568627451,0.0238095238095238,0.00910364145658263
0.20464135021097,0.122362869198312,0.244022503516174,0.214486638537271,0.143459915611814,0.0710267229254571
0.0431848852901484,0.249662618083671,0.256410256410256,0.226720647773279,0.157894736842105,0.0661268556005398
0.050949050949051,0.353646353646354,0.303696303696304,0.158841158841159,0.0609390609390609,0.0719280719280719
0.00721153846153846,0.223557692307692,0.563301282051282,0.141025641025641,0.0360576923076923,0.0288461538461538
0.0234925606891151,0.0524667188723571,0.358653093187157,0.51840250587314,0.0399373531714957,0.00704776820673453
0.0152173913043478,0.182608695652174,0.167391304347826,0.345652173913043,0.273913043478261,0.0152173913043478
0.00525394045534151,0.117338003502627,0.320490367775832,0.183887915936953,0.276707530647986,0.0963222416812609
0.0211081794195251,0.0857519788918206,0.269129287598945,0.261213720316623,0.20712401055409,0.155672823218997
